reviewer_initials,paperid,version,link
ecn,alvarenga2016a,v0.1,https://docs.google.com/spreadsheets/d/16cggDeW_DRwjbxWXilATSNVIdBKlTj3LR9OFpTDQR0g
ecn,stafford2018,v0.1,https://docs.google.com/spreadsheets/d/16cggDeW_DRwjbxWXilATSNVIdBKlTj3LR9OFpTDQR0g
ecn,nowacek2016,v0.1,https://docs.google.com/spreadsheets/d/16cggDeW_DRwjbxWXilATSNVIdBKlTj3LR9OFpTDQR0g
ecn,balmer2018,v0.1,https://docs.google.com/spreadsheets/d/16cggDeW_DRwjbxWXilATSNVIdBKlTj3LR9OFpTDQR0g
ecn,cones2022,v0.1,https://docs.google.com/spreadsheets/d/16cggDeW_DRwjbxWXilATSNVIdBKlTj3LR9OFpTDQR0g
mfc,walton2021a,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,delarosa2019,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,russell2012,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,brewster2021,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,hampton2021,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,clark2010,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,albertsen2019,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,tavares2023,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,vanderkolk2022b,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,stewart2013,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,alvarenga2016a,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,stafford2018,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,nowacek2016,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,balmer2018,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,cones2022,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,shearer2019,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,sheppard2010,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,mott2015,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,wolfson2020,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,graesli2020a,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,kadar2019,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,portelinha2022,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,rushen2012a,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,orgeret2021,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,mccafferty2007,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,combrink2017,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,akesson2014,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,havmoller2021,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,ogun2022,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,maclean2007,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,lesmerises2018a,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,santos2019b,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,neave2021,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,peschko2021,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,hart2020b,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,goncalves2021,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,johnson2016a,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,cleasby2015,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,farthing2020,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,harrington2020,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,bajzak2013,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,photopoulou2014,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,mitchell2019,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,thorne2017,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,murray2017a,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,halfyard2017,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,lear2020,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,iverson2019,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,gutzler2022,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,sakamoto2009,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,thomson2018,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,hooven2023a,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,sawalhah2016,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,zanon2022,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,stafford2016,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,griffin2020,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,amelineau2021,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,muthoka2023,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,byholm2022,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,otoole2017,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,raby2014,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,joo2020,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,latombe2014,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,leu2021,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,lefebvre2018,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,bakermans2022,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,nguyen2017,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,trondrud2021a,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,dhaen2019,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,karelus2021,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,bachmann2021,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,thiem2013,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,becciu2023,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,hetem2012a,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,watanabe2013a,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,ballard2019,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,emmerson2011,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,sawa2020,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,fournier2019,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,vigo2021,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,lalla2022,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,hays2021b,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,pitman2023,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,blanchet2019,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,hartel2020,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,edwards2019,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,broekman2022,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,leu2018,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,skupien2016,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,elliott2022,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,kirol2020,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,dentinger2022,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,rafiq2019,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,loarie2013,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,garcia2021b,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,kinney2017,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,blanco2013,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,coughlin2014,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,kikuchi2012,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,narazaki2009,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,lopes2021,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,owensmith2014b,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,recio2011a,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,shariatinajafabadi2014,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,gentes2015,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,hooijmeijer2014,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,thiel2019,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,lambertucci2018,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,oppel2008b,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,ranglack2022,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,thys2001,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,cianchettibenedetti2017,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,payne2022,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,wilson2015d,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,resheff2022,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,cristescu2016a,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,parsons2014,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,lecomte2010,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,acciaro2022,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,janeau1987,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,rogers2005,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,friedlaender2013,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,clermont2021,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,ito2013,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,delamorena2015,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,zheng2018,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,brown2012b,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,laplanche2015,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,cardenas2020,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
